@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
26,1,1,3,0,0,?
49,0,3,8,0,0,?
17,1,1,3,0,0,?
11,3,0,0,0,0,?
55,6,2,16,0,6,?
60,10,2,23,0,9,?
42,9,2,30,0,5,?
42,9,2,40,0,5,?
17,2,2,8,0,3,?
20,0,2,13,0,1,?
21,3,2,9,0,2,?
29,4,2,14,1,4,?
25,4,2,14,1,4,?
30,3,2,28,0,5,?
17,0,1,1,0,0,?
23,1,1,8,0,0,?
51,0,3,9,0,0,?
13,4,0,0,0,0,?
60,7,2,17,0,6,?
60,10,2,23,0,9,?
42,9,2,30,0,5,?
42,9,2,40,0,5,?
17,2,2,8,0,3,?
25,0,2,17,0,2,?
21,3,2,9,0,2,?
29,4,2,14,1,4,?
25,4,2,14,1,4,?
30,3,2,28,0,5,?
11,0,0,0,0,0,?
11,0,0,0,0,0,?
13,0,0,0,0,0,?
11,0,0,0,0,0,?
28,0,0,0,0,0,?
70,0,0,0,0,0,?
11,0,0,0,0,0,?
12,0,0,0,0,0,?
6,0,0,0,0,0,?
375,11,79,77,0,9,?
130,5,16,34,0,4,?
262,15,22,56,0,18,?
191,12,22,47,2,12,?
77,1,13,4,0,0,?
85,3,11,11,0,1,?
68,1,11,1,0,0,?
78,1,13,4,0,0,?
77,1,13,4,0,0,?
84,8,9,16,0,0,?
184,10,21,48,2,12,?
77,1,13,4,0,0,?
85,3,11,11,0,1,?
206,18,22,55,0,15,?
100,1,17,4,0,0,?
68,1,11,1,0,0,?
152,9,19,37,0,7,?
303,22,23,85,0,25,?
96,4,13,8,1,2,?
136,9,12,27,1,3,?
68,1,11,1,0,0,?
284,32,12,75,2,37,?
200,10,32,45,1,8,?
181,5,5,152,0,2,?
94,18,5,62,3,4,?
39,3,2,21,0,1,?
272,11,25,119,0,25,?
188,13,9,104,0,10,?
374,34,13,188,3,38,?
34,6,2,17,0,0,?
257,48,6,12,8,7,?
224,39,14,64,2,12,?
40,3,3,10,0,1,?
611,42,57,94,2,53,?
191,10,27,10,0,10,?
56,2,5,11,0,1,?
123,21,7,25,2,12,?
60,3,7,16,0,1,?
31,1,2,4,0,2,?
25,2,1,6,0,2,?
25,2,1,6,0,2,?
25,2,1,6,0,2,?
25,2,1,6,0,2,?
25,2,1,6,0,2,?
24,2,1,5,0,2,?
24,2,1,5,0,2,?
24,2,1,5,0,2,?
24,2,1,5,0,2,?
24,2,1,5,0,2,?
491,59,18,65,7,57,?
51,2,2,11,0,6,?
658,66,25,122,22,76,?
112,13,4,17,2,7,?
75,5,2,27,0,12,?
89,6,2,8,2,5,?
117,15,4,7,6,8,?
553,54,60,138,2,22,?
35,3,2,9,0,4,?
77,6,7,13,0,6,?
236,30,13,75,2,25,?
85,12,14,28,0,1,?
190,14,4,92,0,25,?
92,7,2,43,0,12,?
346,28,44,123,0,14,?
164,14,5,81,0,25,?
130,9,11,67,1,17,?
31,6,1,20,0,1,?
16,0,0,0,0,0,?
523,30,63,162,2,29,?
35,3,2,8,0,4,?
78,6,6,13,0,7,?
44,3,3,14,1,2,?
51,4,3,16,0,3,?
33,2,1,5,0,5,?
23,0,3,6,0,0,?
49,4,3,15,1,3,?
67,9,4,21,0,4,?
126,12,5,36,0,10,?
285,63,6,53,3,25,?
237,28,6,32,5,21,?
74,14,2,36,0,7,?
51,3,3,12,0,2,?
28,2,1,5,0,4,?
33,4,2,8,0,2,?
64,8,4,17,0,4,?
454,43,22,133,2,61,?
130,31,9,29,1,12,?
471,64,20,150,1,53,?
27,4,1,2,0,2,?
555,67,39,152,4,57,?
35,5,1,0,0,0,?
72,0,13,12,0,0,?
20,0,0,0,0,0,?
35,0,6,0,0,0,?
152,5,24,26,0,0,?
6,2,0,0,0,0,?
54,0,6,0,0,0,?
136,11,16,19,0,11,?
18,0,4,0,0,0,?
322,32,46,136,0,11,?
206,18,24,37,0,18,?
72,9,11,1,2,3,?
219,23,16,77,1,13,?
55,7,3,11,0,7,?
15,2,0,0,0,0,?
41,5,1,15,0,3,?
17,0,2,0,0,0,?
11,0,0,0,0,0,?
80,13,10,67,0,0,?
63,10,8,56,0,0,?
10,1,1,5,0,0,?
64,11,8,57,1,0,?
295,81,9,36,0,2,?
11,3,0,0,0,0,?
19,0,2,6,0,0,?
32,4,4,13,0,0,?
18,1,1,6,0,0,?
16,2,1,3,0,0,?
31,5,2,7,0,0,?
14,4,1,3,0,0,?
46,6,4,6,0,0,?
71,10,7,8,0,0,?
51,5,5,11,0,0,?
166,18,13,182,0,0,?
152,11,16,86,0,0,?
41,3,2,21,0,0,?
17,0,2,10,0,0,?
57,8,5,8,0,0,?
297,67,19,132,0,1,?
11,0,1,2,0,0,?
71,9,5,17,0,0,?
42,2,2,22,0,0,?
159,20,14,75,0,0,?
161,4,23,99,0,0,?
121,13,6,32,0,2,?
425,72,25,133,0,1,?
44,8,4,12,0,0,?
53,8,4,15,0,0,?
68,7,6,49,0,0,?
15,2,2,6,0,0,?
24,4,2,4,0,2,?
4,0,0,0,0,0,?
61,0,0,0,0,0,?
11,0,0,0,0,0,?
13,0,0,0,0,0,?
22,0,1,2,0,0,?
23,0,1,2,0,0,?
17,0,1,1,0,0,?
107,13,13,19,0,0,?
54,6,5,6,0,0,?
66,10,6,12,0,0,?
64,8,4,15,0,0,?
187,38,18,44,0,0,?
78,12,6,14,0,2,?
202,25,11,238,0,0,?
28,1,2,26,0,0,?
63,7,4,12,0,1,?
231,29,13,126,0,4,?
71,19,5,31,0,0,?
100,5,11,78,0,2,?
143,32,14,82,0,0,?
268,56,17,111,0,0,?
212,16,15,127,2,2,?
44,3,3,27,0,0,?
73,8,5,20,0,2,?
83,8,6,28,0,0,?
72,11,5,46,0,0,?
114,22,11,23,0,0,?
270,38,24,158,0,0,?
195,19,20,234,0,0,?
77,6,6,76,0,0,?
22,1,2,18,0,0,?
45,4,4,8,0,0,?
125,20,10,40,0,0,?
128,16,15,71,0,0,?
12,1,1,3,0,0,?
7,3,0,0,0,0,?
